SET_SPLIT,CLIENT_ID,AGE,AMOUNT,AMOUNT:Count,AVG_SALARY,GENDER,MOST_COMMON_TRANS_OPERATION,RATIO_AMOUNT_BALANCE:Std,RATIO_MONTHLY_AMOUNT_BALANCE:Std,RATIO_YEARLY_AMOUNT_BALANCE:Std,RATIO_YEARLY_AMOUNT_BALANCE:mean,UNEMP_96,MOST_COMMON_TRANS_OPERATION:COLLECTION_FROM_OTHER_BANK,MOST_COMMON_TRANS_OPERATION:CREDIT_IN_CASH,MOST_COMMON_TRANS_OPERATION:OTHER,MOST_COMMON_TRANS_OPERATION:REMITTANCE_TO_OTHER_BANK,MOST_COMMON_TRANS_OPERATION:WITHDRAWAL_IN_CASH,GENDER:F,GENDER:M,MOST_COMMON_TRANS_OPERATION:OTHER_CREDIT_IN_CASH_COLLECTION_FROM_OTHER_BANK,AGE:18-22,AGE:22-27,AGE:27-34,AGE:34-43,AGE:44-57,AGE:58-63,AGE:64-75,AGE:75+,AMOUNT:Count:<49,AMOUNT:Count:50-90,AMOUNT:Count:90-248,AMOUNT:Count:248-301,AMOUNT:Count:301-340,AMOUNT:Count:340-394,AMOUNT:Count:394-433,AMOUNT:Count:433-566,AMOUNT:Count:+566,AMOUNT:<6281,AMOUNT:6281-24871,AMOUNT:24871-40081,AMOUNT:40081-45150,AMOUNT:45150-50220,AMOUNT:50220-70500,AMOUNT:+70500,AVG_SALARY:<8332,AVG_SALARY:8332-9440,AVG_SALARY:9440-9661,AVG_SALARY:9661-9882,AVG_SALARY:9882-10104,AVG_SALARY:10104-12320,AVG_SALARY:+12320,RATIO_AMOUNT_BALANCE:Std:<0.117,RATIO_AMOUNT_BALANCE:Std:0.117-0.443,RATIO_AMOUNT_BALANCE:Std:0.443-0.824,RATIO_AMOUNT_BALANCE:Std:0.824-0.993,RATIO_AMOUNT_BALANCE:Std:+0.993,RATIO_MONTHLY_AMOUNT_BALANCE:Std:<92.136,RATIO_MONTHLY_AMOUNT_BALANCE:Std:92.136-461,RATIO_MONTHLY_AMOUNT_BALANCE:Std:>461,RATIO_YEARLY_AMOUNT_BALANCE:Std:<184.581,RATIO_YEARLY_AMOUNT_BALANCE:Std:>184.581,RATIO_YEARLY_AMOUNT_BALANCE:mean:<0.457,RATIO_YEARLY_AMOUNT_BALANCE:mean:0.457-1.278,RATIO_YEARLY_AMOUNT_BALANCE:mean:+1.278,UNEMP_96:<1.327,UNEMP_96:1.327-2.673,UNEMP_96:2.673-3.121,UNEMP_96:3.121-4.915,UNEMP_96:4.915-6.709,UNEMP_96:+6.709
TRAIN,1,28,12600.0,239,8968,F,WITHDRAWAL_IN_CASH,0.47367593200683694,0.9353181334594574,0.6923247613499723,0.10684365063850669,3.35,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,2,53,42000.0,468,12541,M,WITHDRAWAL_IN_CASH,0.6934477491526448,0.9277351938542008,0.870251318801775,0.25061660495702126,0.43,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
TRAIN,7,69,5100.0,83,9045,M,WITHDRAWAL_IN_CASH,0.5054567137608875,1.3147001832613114,0.7084788037293571,0.10940817726742569,3.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,8,60,11600.0,245,8541,F,WITHDRAWAL_IN_CASH,0.3615279948342611,0.5987295983393591,0.6717802666550146,0.4793644242674371,2.97,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
TRAIN,9,63,33975.0,129,8441,M,WITHDRAWAL_IN_CASH,0.7282142219444345,1.1495080542476737,4.735598425720485,0.4439912788091244,4.48,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,10,55,40800.0,254,8720,M,WITHDRAWAL_IN_CASH,0.6203696068844967,0.9680517055520584,0.8485946370091975,0.3057777999386004,4.5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
TRAIN,13,24,26529.0,155,9897,F,WITHDRAWAL_IN_CASH,0.6336813483515499,1.0869335479439743,0.768304653593637,0.2609605938759815,1.96,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
TRAIN,14,56,6700.0,186,8369,F,WITHDRAWAL_IN_CASH,0.19716919335030197,0.38165158501085006,0.4677309742927175,0.24520300302205147,5.88,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
TRAIN,15,80,11000.0,105,9104,F,WITHDRAWAL_IN_CASH,0.5160457108764844,1.0275118073607594,0.6486916546816669,0.10646401875869045,2.07,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
TRAIN,17,64,7500.0,74,8369,M,WITHDRAWAL_IN_CASH,0.6618578613133336,1.1792245026226085,0.7396971640032881,0.2079960417395767,5.88,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
